Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run, Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
S Gaviglio,P,11,18,4.88,98,37,0,0,0,0,296.2,304,172,161,55,11,91,243,1.33,0.264
A Miranda,P,17,21,4.46,116,47,3,0,2,2,363.1,355,202,180,41,7,206,243,1.54,0.26
S Strickland,P,12,21,3.38,239,0,0,0,20,32,242,206,104,91,25,8,112,243,1.31,0.228
A Herring,P,34,38,4.32,199,56,25,3,13,--,697.2,754,401,335,41,20,284,243,1.49,0.276
C Schanz,P,28,43,4.34,155,72,23,2,14,--,626.2,658,369,302,29,24,332,243,1.58,0.275
T Walker,P,23,18,4.23,286,1,0,0,34,49,299.2,300,148,141,37,8,110,243,1.37,0.263
R Folkers,P,19,23,4.11,195,28,5,0,7,10,423,416,207,193,40,8,170,242,1.39,0.258
C James,P,24,19,4.53,72,55,0,0,0,0,326,317,169,164,63,10,132,242,1.38,0.258
K Greenfield,P,41,48,4.56,152,98,36,2,1,--,775.1,871,451,393,36,21,297,242,1.51,0.29
F Rodriguez Jr.,P,11,15,4.35,216,0,0,0,0,6,231.2,197,119,112,24,6,109,242,1.32,0.23
M Jeffcoat,P,25,26,4.36,255,45,3,2,7,7,500,576,269,242,49,16,149,242,1.45,0.292
S Delabar,P,15,9,4.07,190,0,0,0,2,12,194.2,153,95,88,26,13,102,242,1.31,0.216
Z Miner,P,25,22,4.25,173,38,1,0,1,11,385.2,408,198,182,39,10,162,237,1.48,0.274
E Stricklett,P,35,51,2.84,104,90,78,10,6,--,765.2,755,366,242,3,27,215,237,1.27,0.264
M Lincoln,P,17,30,5.33,263,19,0,0,5,16,376.1,420,236,223,55,18,149,236,1.51,0.286
C Curtis,P,28,61,3.31,136,94,39,5,6,--,744.2,707,393,274,22,37,317,236,1.38,0.259
J Turner,P,14,31,5.37,102,56,1,0,0,3,369,426,248,220,50,9,144,236,1.54,0.292
O Villarreal,P,24,15,3.86,258,5,0,0,1,13,336,326,168,144,42,16,135,236,1.37,0.256
B Steele,P,37,43,4.02,129,79,40,1,7,--,676.2,733,408,302,21,29,235,236,1.43,0.286
R Clark,P,19,32,3.38,96,70,4,2,2,3,431.2,371,200,162,37,11,213,236,1.35,0.233
T Alexander,P,9,22,4.37,96,42,0,0,0,0,300.2,323,153,146,52,11,69,236,1.3,0.273
B Wade,P,19,17,4.34,118,25,5,1,10,--,371.1,364,198,179,49,9,181,235,1.47,0.259
D Miller,P,23,17,3.23,251,1,0,0,22,22,465.1,459,184,167,35,9,177,235,1.37,0.264
D Kerr,P,53,34,3.84,140,83,54,7,6,--,811.1,876,399,346,24,18,250,235,1.39,0.281
T Kelley,P,20,22,3.75,104,45,9,1,0,1,408,400,198,170,38,2,207,234,1.49,0.26
S Oberg,P,18,8,3.85,259,0,0,0,7,18,257.1,238,120,110,26,12,101,234,1.32,0.247
W Cunnane,P,13,12,5.26,184,12,0,0,3,5,274,312,177,160,38,10,128,234,1.61,0.289
D Huff,P,25,30,5.17,120,57,1,0,0,0,393.1,463,256,226,59,8,132,234,1.51,0.29
J Gray,P,9,13,5.26,43,42,0,0,0,0,224.1,206,133,131,60,10,101,234,1.37,0.241
J Johnstone,P,15,19,4.01,234,0,0,0,3,10,278.1,269,138,124,38,9,115,234,1.38,0.255
K Wright,P,23,13,4.13,51,44,0,0,0,0,250.1,226,119,115,34,14,101,233,1.31,0.24
B Shouse,P,13,10,3.72,467,0,0,0,6,18,350.2,347,163,145,31,20,118,233,1.33,0.259
M Boggs,P,13,15,4.12,241,15,0,0,6,16,316.2,319,156,145,27,19,144,233,1.46,0.265
B Burns,P,30,52,2.72,117,85,45,10,2,--,717.2,705,331,217,14,38,147,233,1.19,0.265
A Bummer,P,9,10,3.02,229,0,0,0,5,19,214.1,173,87,72,14,11,94,233,1.25,0.22
V Mazzaro,P,24,23,4.79,140,45,0,0,1,3,383,439,228,204,43,17,156,233,1.55,0.292
T Phillips,P,16,22,4.82,147,45,9,1,6,--,438.2,460,251,235,42,22,211,233,1.53,0.275
T Buchholz,P,20,22,4.28,158,27,1,1,1,3,311,289,165,148,41,8,85,229,1.2,0.247
D Jackson,P,20,27,4.38,101,60,3,1,1,1,411,425,219,200,36,7,186,229,1.49,0.272
A Ripley,P,23,27,4.52,101,67,4,0,1,1,463.2,521,256,233,46,15,148,229,1.44,0.289
R Yett,P,22,24,4.95,136,49,4,1,2,2,414.1,444,242,228,53,7,191,229,1.53,0.274
B Jones,P,14,21,5.77,99,47,1,0,0,0,324.2,366,227,208,45,16,195,229,1.73,0.288
R Bressler,LF,26,32,3.4,107,52,27,3,2,--,540,511,267,204,8,14,242,229,1.39,0.262
J Mijares,P,6,11,3.23,324,0,0,0,0,4,259,257,105,93,21,13,103,229,1.39,0.258
G Waslewski,P,11,26,3.44,152,42,5,1,5,6,410.1,368,184,157,32,21,197,229,1.38,0.243
R Rowland-Smith,P,12,17,4.57,121,47,0,0,2,3,370,388,210,188,51,15,138,229,1.42,0.27
M O'Neill,P,32,44,2.73,85,77,68,4,2,--,694.1,739,358,211,8,26,169,228,1.31,0.269
B Claussen,P,16,27,5.04,58,58,0,0,0,0,316,359,197,177,48,15,121,228,1.52,0.286
W Moore,P,30,29,3.75,133,60,18,4,4,--,513.1,450,243,214,25,24,292,228,1.45,0.237
D Clyde,P,18,33,4.63,84,73,10,0,0,0,416.1,457,243,214,33,12,180,228,1.53,0.285
H Gaspar,P,46,48,2.69,143,98,48,11,13,--,825.1,795,333,247,15,39,217,228,1.23,0.261
O Drake,P,10,10,4.27,196,0,0,0,5,13,204.1,185,106,97,24,2,83,228,1.31,0.238
B Posedel,P,41,43,4.56,138,87,45,6,6,--,679.1,757,377,344,48,4,248,227,1.48,0.286
C Brock,P,18,17,4.81,148,30,0,0,1,4,335,361,193,179,56,10,137,227,1.49,0.275
S Santos,P,7,12,3.98,194,0,0,0,39,54,183,155,84,81,18,6,88,227,1.33,0.227
J Beeks,P,14,8,4.09,101,11,0,0,4,8,235.1,237,118,107,26,14,90,227,1.39,0.262
J Outman,P,16,11,4.43,161,32,0,0,0,2,274.1,276,145,135,28,5,115,226,1.43,0.262
A Wilson,P,14,14,3.44,303,1,0,0,5,21,332,315,139,127,31,11,90,226,1.22,0.252
D Wengert,P,14,32,6.01,160,48,2,1,3,6,438.2,569,307,293,73,18,157,226,1.66,0.316
S Scudder,P,21,34,4.82,96,64,0,0,1,1,386.1,395,231,207,42,13,206,226,1.56,0.266
J Hughes,P,25,30,4.3,78,62,16,2,0,0,441.1,443,241,211,36,21,205,226,1.47,0.264
D Waechter,P,18,27,5.34,113,54,1,1,0,1,384.1,427,250,228,68,15,129,226,1.45,0.279
M Breuer,P,25,26,4.03,86,60,23,1,3,--,484.1,487,246,217,41,3,154,226,1.32,0.258
J Sellers,P,13,22,4.97,61,51,7,2,0,0,329.2,364,200,182,33,9,164,226,1.6,0.285
E Poole,P,33,35,3.04,80,70,61,5,1,--,595,584,288,201,13,34,238,226,1.38,0.26
S Castleman,P,36,26,4.25,121,78,25,4,1,--,586.2,644,323,277,45,9,223,225,1.48,0.279
J Parrish,P,14,14,4.51,183,16,0,0,1,7,277.2,280,156,139,27,10,189,225,1.69,0.264
D Wright,P,20,26,5.65,70,64,1,1,1,1,366.2,393,249,230,65,13,167,225,1.53,0.276
B Bergesen,P,19,25,4.61,102,59,4,1,0,1,424,467,243,217,55,16,122,225,1.39,0.279
K Ryan,P,14,16,3.91,240,1,0,0,30,30,285.2,266,140,124,21,9,164,225,1.51,0.25
J Kaprielian,P,13,14,4.2,52,47,0,0,0,0,257,230,126,120,37,10,102,225,1.29,0.236
